Place,Ger1,Paris,Aqu,Nev,MCa,Gai,VimA,Rome2,Rome3,Che
de,0,0,0,0,0,-5,-5,-5,-5,2
,5,5,5,5,5,0,0,-3,-3,5
,,2,,2,2,,0,-1,-1,2
,2,2,2,2,2,-3,-3,-3,-3,2
,0,0,0,0,0,-5,-1,-1,-1,0
,,,,,,,,-3,-3,
,,,,,,,,-5,-5,
us ,0,0,0,0,0,-5,-3,-3,-3,0
,,,,,,,-5,,,
in,2,2,2,0,2,-3,-5,-1,-1,0
,0,0,,2,-1,-7,,-3,-3,2
,-2,-1,-2,0,,,,0,,0
,,,,-1,,,,-1,-1,-2
,,,,,,,,-3,-3,
ad ,0,0,0,0,0,-5,-5,-5,-5,0
,,,,,,,-3,-3,-3,
,,,,,,,,0,0,
ju,2,2,2,2,2,-3,-1,0,0,2
to ,,,,2,,0,-1,-1,-1,
,5,5,,5,5,0,0,0,0,5
,5,5,5,5,5,2,2,2,2,5
,7,7,7,7,7,,,,,7
ri ,5,5,5,5,5,0,2,2,2,5
um,5,5,5,5,5,0,2,4,4,5
,,,,,,,,2,2,
,,,,,,,,4,4,
,,,,,,,,2,2,
me ,5,5,5,5,5,0,0,0,-7,5
,7,7,7,7,7,2,2,4,-5,7
,5,5,5,5,5,0,0,,-3,5
,,,,,,,5,,,
,,,,,,,5,,,
um,5,5,5,5,5,0,7,4,-3,5
,4,4,4,4,4,-1,5,7,0,4
,5,5,5,5,5,0,4,5,-3,5
,,,,,,,2,5,,
,,,,,,,4,4,,
,,,,,,,5,,,
,,,,,,,4,,,
in,2,2,2,2,2,-3,2,2,-5,2
,0,0,0,0,0,-7,0,4,-3,0
,5,4,4,4,4,-3,2,0,-3,4
,2,2,2,2,2,-5,,2,-5,2
,,,,,,,,5,-7,
,,,,,,,,4,-5,
,,,,,,,,5,-1,
,,,,,,,,4,-3,
,,,,,,,,,-1,
,,,,,,,,,-3,
,,,,,,,,,-5,
tem,2,2,2,2,2,-5,2,2,-5,2
,5,4,4,4,4,-3,4,4,-3,4
,2,2,2,2,2,-5,5,5,-1,2
,,,,,,,4,4,-3,
,,,,,,,,5,-1,
,,,,,,,,4,-3,
,,,,,,,,,-5,
de ,2,2,2,2,2,-5,4,4,-3,2
,,,,,,,2,5,-1,
,,,,,,,,4,-3,
,,,,,,,,2,-5,
do,2,2,2,2,2,2,2,2,-8,2
mi,2,2,2,2,2,2,2,2,-5,2
,,,,,,,4,,,
ne,4,4,4,4,4,4,4,2,-5,4
,5,5,7,5,5,5,5,4,-3,5
,4,4,4,4,4,4,4,2,-5,4
ad,2,2,2,2,2,2,2,0,-7,2
ad,2,2,2,2,2,2,2,2,-5,2
,4,4,4,4,4,4,4,4,-3,4
,5,,,,,,,,-5,
,2,2,2,2,2,2,2,2,,2
ju,0,0,0,0,0,0,0,0,-7,0
,,,,,,,2,2,-5,
van,0,0,0,0,0,0,0,0,-7,0
,0,0,-1,0,0,0,-1,-1,-8,0
,0,0,0,0,0,0,,-2,-5,0
,,-1,,-1,,-1,,0,-7,-3
,,,,,,,,-1,-8,
,,,,,,,,0,-7,
,,,,,,,,-1,,
dum,,,,,,,,0,-10,
,-3,-3,-3,-3,-3,-3,-1,-1,-7,-3
,-5,,,,,,-3,-3,-8,
,,,,,,,,-5,-10,
,,,,,,,,,-12,
me,,,0,,0,0,0,-3,-7,
,2,2,2,2,4,4,2,0,-5,2
,5,5,5,5,,,4,2,-3,5
,,,,,,,5,4,,
,,,,,,,4,,,
,,,,,,,2,,,
fes,,,,,,,2,2,-5,
,5,5,5,5,5,5,5,,,5
,4,4,4,4,4,4,4,,,4
,5,5,5,5,5,5,2,,,5
,2,2,2,2,2,2,4,,,2
,2,,,,,,5,,,
,,,,,,,4,,,
ti,0,0,0,0,-1,2,2,0,-7,2
,,,0,,,0,0,,,0
na,0,0,0,0,-1,0,0,-1,-8,0
,2,2,2,2,2,2,2,2,-5,2
,0,0,0,0,0,0,0,0,-7,0
,0,,0,0,,0,2,0,-8,0
,,,,,,,-1,-1,,
,,,,,,,-3,,,
,,,,,,,-1,,,
,,,,,,,0,,,
,,,,,,,0,,,
con,-3,-3,-3,-3,-3,-3,-5,-3,-10,-3
,,,,,-5,,,,,
fun,,,,,,,-5,0,-7,
,,,,,,,-3,0,-7,
,,,,,,,-1,0,-7,
,0,0,0,0,0,0,0,0,,0
,0,0,,0,0,0,0,-1,,0
dan ,2,2,2,2,4,4,0,0,-7,2
,,4,,4,2,2,2,2,-5,4
,,,,,4,4,4,4,-3,
,,,,,,,2,2,-5,
,,,,,,,,4,-1,
,,,,,,,,2,-3,
,,,,,,,,0,-5,
,,,,,,,,-1,-7,
,,,,,,,,0,-8,
,,,,,,,,,-7,
tur,,2,,,,,2,0,-7,
,0,0,0,0,0,0,0,0,-7,0
,,,,,,,,0,-8,
,,,,,,,,-1,-10,
,,,,,,,,-3,-7,
,,,,,,,,0,,
et,0,0,0,0,0,0,0,0,-7,0
re,0,0,0,0,0,0,0,0,-7,0
ve,0,0,0,0,0,0,0,0,-7,0
re,,0,,,,,0,4,-3,
,2,2,2,2,2,2,,2,-5,2
an,2,2,2,2,2,2,2,0,-7,2
,4,4,4,4,4,4,0,2,-5,4
,5,2,5,2,2,2,2,4,-3,2
,2,5,2,4,4,4,4,2,-5,2
,,,,,,,5,4,-1,
,,,,,,,7,2,-3,
,,,,,,,5,0,-5,
,,,,,,,2,-1,-7,
,,,,,,,,0,-8,
,,,,,,,,,-7,
tur,0,0,0,0,0,0,0,0,-7,0
,,,,,,,,0,-7,
,,,,,,,,-1,-8,
,,,,,,,,-3,-10,
,,,,,,,,0,-7,
in,0,0,0,0,-1,0,-1,-1,-8,0
,,,,,,,,-3,-10,
i,2,0,2,2,2,2,-1,0,-7,2
mi,2,2,2,2,2,2,-1,2,-5,2
,,,,,,,0,,,
ci,0,0,0,0,0,0,0,0,-7,0
,,,,,,,2,,,