Place,Aqu,Ger1,Dij,Sens,Nev,Che,Gai,MCa,Rome3,VimA
Ro ,-10,-10,-10,-10,-10,-10,-10,-10,-8,-7
,-8,-8,-8,-8,-8,-8,-8,-8,,
ra ,-8,-8,-8,-8,-8,-8,-8,-8,-3,-7
,-3,-3,-3,-3,-3,-3,-3,-3,-1,-5
,0,0,-2,-2,-2,-2,-1,-1,-3,-3
te,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
cae,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,-1,-1,0,0,0,-1,0,0,0,-1
,0,0,0,0,0,0,0,0,-1,0
,-3,-3,-3,-3,-3,-3,-3,-3,-3,
,,,,,,,,,-5,
li,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1
,-5,-5,-5,-5,-5,-5,-5,-5,-1,-3
,,,,,,,,,-3,0
,,,,,,,,,-5,-1
,,,,,,,,,,-3
de,-3,-3,-3,-3,-3,-3,-3,-3,-5,-5
,0,0,0,0,0,0,0,-1,-1,-3
,,,,,,,,0,0,-1
,,,,,,,,,-1,0
,,,,,,,,,-3,
su,0,0,0,0,0,0,0,0,-1,-1
,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3
,0,0,,0,0,0,,0,-5,0
,2,2,2,2,2,2,2,2,,-1
,0,0,0,0,0,0,0,0,,-3
,2,2,2,2,2,2,2,2,,-1
per,2,2,2,2,2,2,2,2,-3,-3
,0,0,0,0,0,0,0,0,,
et,-5,-5,-3,-7,-7,-5,-5,-1,-3,-7
,,,-7,,,-3,,-5,-5,
,,,-3,,,,,-3,-1,
,,,,,,,,,-3,
,,,,,,,,,-5,
nu,-3,,-3,-3,-3,-3,-3,-3,-7,-5
,-1,-1,-2,-2,-1,-1,-1,-1,-3,-7
,0,0,-3,-3,,0,,,-1,-5
,-3,-3,,,-3,-3,-3,-3,-3,-3
,,,,,,,,,,-5
bes,-3,-3,-3,-3,-3,-3,-5,-3,-3,-5
,,,,-5,,,,,-1,
plu,0,-1,0,0,-3,-1,0,-3,-3,-3
,-1,0,0,0,0,0,0,0,-1,
,,-3,-3,,0,-3,-3,0,,
,,,,,-3,,,-3,,
ant,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,,,,,,,-5,,-1,-5
,,,,,,,,,-3,-7
,,,,,,,,,,-5
,,,,,,,,,,-3
jus,-5,-5,-5,-5,-5,-5,-5,-5,,-5
,-7,-7,-7,-7,-7,-7,-7,-7,,-3
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-5
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-7
,-7,-7,-7,-7,-7,-7,-7,-7,-3,-7
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3
,,,,,,,,,,-5
,,,,,,,,,,-7
tum,-7,-7,-7,-7,-7,-7,-7,-7,-5,-7
,,,,,,,,,-7,
,,,,,,,,,-5,
,,,,,,,,,-3,
,,,,,,,,,-1,
,,,,,,,,,-3,
,,,,,,,,,-5,
,,,,,,,,,-3,
a,-7,-7,-7,-7,-7,-7,-7,-7,-3,-7
,,,,,,,,,-5,
pe,-5,-5,-5,-5,-5,-5,-5,-5,-7,-7
ri,,,,,,,,,-5,-5
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
a,,,,,,,,,-3,
,,,,,,,,,-5,
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,-1,,-2,-1,,,-1,-1,,-1
,0,0,0,0,0,0,0,0,0,
tur,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,,,,,-7,,,,,
ter,,,,,,,,,,-5
,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
,-5,-5,-5,-5,-5,-5,-5,-5,-5,
,-8,,,,,,,,,-8
,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
,,,,,,,,,,-5
,,,,,,,,,,-7
,,,,,,,,,-8,-8
,,,,,,,,,,-7
,,,,,,,,,,-8
,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
ra,-10,-10,-10,-10,-10,-10,-10,-10,-7,-10
,,,,,,,,,-5,-8
,,,,,,,,,,-10
,,,,,,,,,,-12
et,-7,-7,-7,-7,-7,-7,-7,-7,-3,
,-7,,-8,-8,-8,-8,-8,-8,-5,
,,,,-8,,,,,,
,,,-10,-10,-10,-10,-10,-10,,-10
,,,,,,,,,,-12
ger,,,,,,,,,-7,
,,,,,,,,,-8,-10
,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
,,,-5,-5,,,-5,-5,-5,-7
mi,,,,,,,,,,-7
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
net,-7,-7,-7,-7,-7,-7,-7,-7,,
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,-7,-7,-7,-7,-7,-7,-7,-7,,-7
,,,,,,,,,,-8
,-10,-10,-10,-10,-10,-10,-10,-10,,-10
sal,-10,-10,-10,-10,-10,-10,-10,-10,-5,-10
,,,-8,-8,-7,-8,-8,-8,,
,-7,-7,-7,-7,-7,-12,-7,-7,-7,
,,,,,-7,,,,,
va,,,,,,,,,-5,
,,,,,,,,,-7,
,-12,-12,-12,-12,-12,-12,-12,-12,-7,-12
,,,,,,,,,-8,
,-7,-7,-8,-8,-8,-8,-8,-8,-7,
,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
to,,,,,,,,,-10,
,-10,-10,-10,-10,-10,-10,-10,-10,-7,-10
,-8,,-8,-8,-8,-8,-8,-8,-8,-8
,-7,-7,,,,,,,-7,-7
,-10,-10,-10,-10,-10,-10,-10,-10,-5,-10
rem,,,,,,,,,-7,
,,,,,,,,,-7,
,,,,,,,,,-8,
,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10